feature,importance
seasonal_strength,0.09113950116754227
zero_crossings,0.08641788064641807
entropy,0.06702137558945594
mean,0.06002923558329455
trend_slope,0.05768083375129134
seasonal_period,0.05553829689098215
skew,0.05165140015182844
std,0.0516401202397748
trend_r_squared,0.0494573133707514
kurtosis,0.04841462477393578
kpss_stat,0.047805334638890105
max,0.045674643347956775
kpss_pvalue,0.04442298378984543
min,0.04092204199228508
median,0.0367709100402957
mean_abs_change,0.035923557890611045
volatility,0.032350327427728795
adf_stat,0.029399238825903933
adf_pvalue,0.0288625227324177
range_90,0.024664036978452455
var,0.014213820170338416
